player,position,team,teamsignedwith,age,years,contract,salary,guaranteed,guaranteedpct,yearfreeagent
Robert Housler (20152015) ,TE ,CLE ,CLE ,27,1,1760000,1760000,750000,42.61,2016
John Phillips (20132015) ,TE ,SD ,SD ,28,3,5275000,1758333,2000000,37.91,2016
Alec Ogletree (20132016) ,OLB ,STL ,STL ,23,4,7030034,1757509,5666393,80.6,2017
Marcus Easley (20152018) ,WR ,BUF ,BUF ,27,4,7000000,1750000,2200000,31.43,2019
Daniel Kilgore (20142017) ,C ,SF ,SF ,27,3,5250000,1750000,2155300,41.05,2018
Andrew Gachkar (20152016) ,ILB ,DAL ,DAL ,26,2,3500000,1750000,1200000,34.29,2017
Rashean Mathis (20152016) ,CB ,DET ,DET ,34,2,3500000,1750000,750000,21.43,2017
Mike Nugent (20152016) ,K ,CIN ,CIN ,33,2,3500000,1750000,600000,17.14,2017
B.J. Raji (20152015) ,DE ,GB ,GB ,29,1,1750000,1750000,500000,28.57,2016
Tyrunn Walker (20152015) ,DT ,DET ,DET ,25,1,1750000,1750000,750000,42.86,2016
Chris Clark (20142015) ,RT ,DEN ,DEN ,29,2,3477000,1738500,1077000,30.98,2016
Bradley Roby (20142017) ,CB ,DEN ,DEN ,23,4,6952528,1738132,5584456,80.32,2018
Muhammad Wilkerson (20112015) ,DE ,NYJ ,NYJ ,25,4,6875000,1718750,5562500,80.91,2016
Travis Frederick (20132016) ,C ,DAL ,DAL ,24,4,6870028,1717507,5528206,80.47,2017
Teddy Bridgewater (20142017) ,QB ,MIN ,MIN ,23,4,6849502,1712376,5495479,80.23,2018
O'Brien Schofield (20152015) ,DE ,ATL ,ATL ,28,1,1700000,1700000,255000,15,2016
Doug Martin (20122015) ,RB ,TB ,TB ,26,4,6787816,1696954,5471956,80.61,2016
Matt Elam (20132016) ,S ,BAL ,BAL ,23,4,6767002,1691751,5439229,80.38,2017
Nick Novak (20132016) ,K ,SD ,SD ,33,4,6600000,1650000,1500000,22.73,2017
Bruce Gradkowski (20132015) ,QB ,PIT ,PIT ,32,3,4950000,1650000,850000,17.17,2016
Benjamin Watson (20132015) ,TE ,NO ,NO ,34,3,4950000,1650000,1200000,24.24,2016
John Jerry (20152016) ,G ,NYG ,NYG ,29,2,3300000,1650000,1000000,30.3,2017
James Starks (20142015) ,RB ,GB ,GB ,29,2,3250000,1625000,725000,22.31,2016
A.J. Hawk (20152016) ,OLB ,CIN ,CIN ,31,2,3250000,1625000,500000,15.38,2017
John Greco (20132017) ,G ,CLE ,CLE ,30,4,6420000,1605000,1300000,20.25,2018
Jerricho Cotchery (20142018) ,WR ,CAR ,CAR ,33,5,8015000,1603000,2250000,28.07,2019
Luke Stocker (20152017) ,TE ,TB ,TB ,27,3,4800000,1600000, , ,2018
Ian Williams (20132015) ,DT ,SF ,SF ,25,2,3200000,1600000,1000000,31.25,2016
Jason Babin (20142015) ,DE ,NYJ ,NYJ ,35,2,3200000,1600000, , ,2016
Jacob Tamme (20152016) ,TE ,ATL ,ATL ,30,2,3200000,1600000,400000,12.5,2017
James Ihedigbo (20142015) ,S ,DET ,DET ,31,2,3150000,1575000,750000,23.81,2016
Louis Murphy (20152017) ,WR ,TB ,TB ,28,3,4662500,1554167,262500,5.63,2018
Mackenzy Bernadeau (20142015) ,G ,DAL ,DAL ,29,2,3100000,1550000,1600000,51.61,2016
Tony Carter (20152015) ,CB ,DEN ,DEN ,29,1,1542000,1542000, , ,2016
Ishmaa'ily Kitchen (20152015) ,DT ,CLE ,CLE ,26,1,1542000,1542000, , ,2016
Johnson Bademosi (20152015) ,S ,CLE ,CLE ,25,1,1542000,1542000, , ,2016
Will Hill (20152015) ,S ,BAL ,BAL ,25,1,1542000,1542000, , ,2016
Jaiquawn Jarrett (20152015) ,S ,NYJ ,NYJ ,25,1,1542000,1542000, , ,2016
Will Johnson (20152015) ,FB ,PIT ,PIT ,26,1,1542000,1542000, , ,2016
Antwon Blake (20152015) ,CB ,PIT ,PIT ,24,1,1542000,1542000, , ,2016
Robert Golden (20152015) ,S ,PIT ,PIT ,24,1,1542000,1542000, , ,2016
Brandian Ross (20152015) ,S ,OAK ,OAK ,25,1,1542000,1542000, , ,2016
Larry Asante (20152015) ,S ,OAK ,OAK ,27,1,1542000,1542000, , ,2016
Don Barclay (20152015) ,RT ,GB ,GB ,26,1,1542000,1542000, , ,2016
Mike Harris (20152015) ,LT ,MIN ,MIN ,26,1,1542000,1542000, , ,2016
Bobby Rainey (20152015) ,RB ,TB ,TB ,27,1,1542000,1542000, , ,2016
Marquette King (20152015) ,P ,OAK ,OAK ,26,1,1542000,1542000, , ,2016
Cory Harkey (20152015) ,FB ,STL ,STL ,25,1,1542000,1542000, , ,2016
Austin Davis (20152015) ,QB ,STL ,STL ,26,1,1542000,1542000, , ,2016
Kai Forbath (20152015) ,K ,WAS ,WAS ,27,1,1542000,1542000, , ,2016
Andre Holmes (20152015) ,WR ,OAK ,OAK ,27,1,1542000,1542000, , ,2016
Lance Dunbar (20152015) ,RB ,DAL ,DAL ,25,1,1542000,1542000, , ,2016
Lorenzo Alexander (20132015) ,OLB ,ARI ,ARI ,32,3,4620000,1540000,1350000,29.22,2016
Landon Collins (20152018) ,S ,NYG ,NYG ,21,4,6120557,1530139, , ,2019
Sterling Moore (20152015) ,CB ,TB ,TB ,25,1,1525000,1525000, , ,2016
Donovan Smith (20152018) ,LT ,TB ,TB ,22,4,6068860,1517215,3899042,64.25,2019
Jon Ryan (20102015) ,P ,SEA ,SEA ,33,6,9100000,1516667,525000,5.77,2016
Nate Chandler (20142017) ,RT ,CAR ,CAR ,26,3,4550000,1516667,1870000,41.1,2018
Mario Edwards (20152018) ,DE ,OAK ,OAK ,21,4,6017162,1504291, , ,2019
William Gay (20132015) ,CB ,PIT ,PIT ,30,3,4500000,1500000,500000,11.11,2016
David Bruton (20132015) ,S ,DEN ,DEN ,28,3,4500000,1500000,1200000,26.67,2016
Demar Dotson (20132016) ,RT ,TB ,TB ,29,3,4500000,1500000,1000000,22.22,2017
Andrew Quarless (20142015) ,TE ,GB ,GB ,26,2,3000000,1500000,350000,11.67,2016
Kellen Clemens (20142015) ,QB ,SD ,SD ,32,2,3000000,1500000,645000,21.5,2016
Jeremy Mincey (20142015) ,DE ,DAL ,DAL ,31,2,3000000,1500000,700000,23.33,2016
Marshall Newhouse (20152016) ,RT ,NYG ,NYG ,26,2,3000000,1500000,1000000,33.33,2017
Clay Harbor (20142015) ,TE ,JAC ,JAC ,28,2,3000000,1500000,1450000,48.33,2016
Darren McFadden (20152016) ,RB ,DAL ,DAL ,27,2,3000000,1500000,200000,6.67,2017
Ryan Mundy (20142015) ,S ,CHI ,CHI ,30,2,3000000,1500000,650000,21.67,2016
Major Wright (20152016) ,S ,TB ,TB ,27,2,3000000,1500000,1250000,41.67,2017
T.J. Yates (20152015) ,QB ,ATL ,ATL ,28,1,1500000,1500000,375000,25,2016
Tarell Brown (20152015) ,CB ,NE ,NE ,30,1,1500000,1500000,400000,26.67,2016
Isa AbdulQuddus (20152015) ,S ,DET ,DET ,26,1,1500000,1500000,300000,20,2016
Tarvaris Jackson (20152015) ,QB ,SEA ,SEA ,32,1,1500000,1500000,1500000,100,2016
Christopher Conte (20152015) ,S ,TB ,TB ,26,1,1500000,1500000,1250000,83.33,2016
Kevin Williams (20152015) ,DT ,NO ,NO ,34,1,1500000,1500000,500000,33.33,2016
Byron Bell (20152015) ,RT ,TEN ,TEN ,26,1,1500000,1500000,250000,16.67,2016
Khalif Barnes (20152015) ,G ,OAK ,OAK ,33,1,1500000,1500000,500000,33.33,2016
Colt McCoy (20152015) ,QB ,WAS ,WAS ,28,1,1500000,1500000,150000,10,2016
Bradley Fletcher (20152015) ,CB ,NE ,NE ,29,1,1500000,1500000,550000,36.67,2016
Kenrick Ellis (20152015) ,DT ,NYG ,NYG ,27,1,1500000,1500000,500000,33.33,2016
T.J. Yeldon (20152018) ,RB ,JAC ,JAC ,21,4,5913774,1478444,3264736,55.21,2019
Dave Zastudil (20142015) ,P ,ARI ,ARI ,36,2,2950000,1475000,545000,18.47,2016
Devin Smith (20152018) ,WR ,NYJ ,NYJ ,0,4,5872419,1468105,3232779,55.05,2019
Taiwan Jones (20152017) ,RB ,OAK ,OAK ,27,3,4355000,1451667,855000,19.63,2018
Allen Barbre (20152017) ,G ,PHI ,PHI ,31,3,4350000,1450000,600000,13.79,2018
Preston Smith (20152018) ,OLB ,WAS ,WAS ,22,4,5779354,1444839,3160865,54.69,2019
Trumaine McBride (20142015) ,CB ,NYG ,NYG ,29,2,2875000,1437500,100000,3.48,2016
Brad Jones (20152016) ,ILB ,PHI ,PHI ,29,2,2850000,1425000,500000,17.54,2017
Eddie Goldman (20152018) ,DT ,CHI ,CHI ,21,4,5686314,1421579,3088970,54.32,2019
Dorial GreenBeckham (20152018) ,WR ,TEN ,TEN ,22,4,5603597,1400899,3025053,53.98,2019
Eugene Sims (20142015) ,DE ,STL ,STL ,29,2,2800188,1400094,500053,17.86,2016
Chris Jones (20152017) ,P ,DAL ,DAL ,26,3,4200000,1400000,750000,17.86,2018
Kurt Coleman (20152016) ,S ,CAR ,CAR ,27,2,2800000,1400000,600000,21.43,2017
Antone Smith (20152015) ,RB ,ATL ,ATL ,29,1,1400000,1400000,200000,14.29,2016
Hakeem Nicks (20152015) ,WR ,TEN ,TEN ,27,1,1400000,1400000,100000,7.14,2016
Xavier Su'aFilo (20142017) ,G ,HOU ,HOU ,24,4,5551601,1387900,3967700,71.47,2018
Devin Funchess (20152018) ,WR ,CAR ,CAR ,21,4,5520887,1380222,2961140,53.64,2019
DeMarcus Lawrence (20142017) ,OLB ,DAL ,DAL ,23,4,5506650,1376663,3895138,70.74,2018
James Harrison (20152016) ,OLB ,PIT ,PIT ,37,2,2750000,1375000,500000,18.18,2017
John Cyprien (20132016) ,S ,JAC ,JAC ,25,4,5469104,1367276,3916124,71.6,2017
Tim Masthay (20122016) ,P ,GB ,GB ,28,4,5465000,1366250,1200000,21.96,2017
Joel Bitonio (20142017) ,G ,CLE ,CLE ,23,4,5461698,1365425,3700403,67.75,2018
Jalen Collins (20152018) ,CB ,ATL ,ATL ,22,4,5427834,1356959,2889236,53.23,2019
Justin Hunter (20132016) ,WR ,TEN ,TEN ,24,4,5424148,1356037,3436388,63.35,2017
Chris Maragos (20142016) ,S ,PHI ,PHI ,28,3,4050000,1350000,1550000,38.27,2017
Andre Caldwell (20142015) ,WR ,DEN ,DEN ,30,2,2700000,1350000,400000,14.81,2016
Chris Cook (20152015) ,CB ,SF ,SF ,28,1,1350000,1350000,800000,59.26,2016
Scott Tolzien (20152015) ,QB ,GB ,GB ,27,1,1350000,1350000,100000,7.41,2016
Brian Quick (20122015) ,WR ,STL ,STL ,26,4,5386599,1346650,3822373,70.96,2016
Zach Ertz (20132016) ,TE ,PHI ,PHI ,24,4,5379198,1344800,3657854,68,2017
Derek Carr (20142017) ,QB ,OAK ,OAK ,24,4,5371801,1342950,3310937,61.64,2018
Benardrick McKinney (20152018) ,OLB ,HOU ,HOU ,22,4,5345124,1336281,2825324,52.86,2019
Coby Fleener (20122015) ,TE ,IND ,IND ,26,4,5341648,1335412,3767638,70.53,2016
Josh Gordon (20122015) ,WR ,CLE ,CLE ,24,4,5341648,1335412,3727638,69.78,2016
Ra'Shede Hageman (20142017) ,DT ,ATL ,ATL ,24,4,5335842,1333961,3283150,61.53,2018
Logan Paulsen (20132015) ,TE ,WAS ,WAS ,28,3,4000000,1333333,1100000,27.5,2016
Courtney Upshaw (20122015) ,OLB ,BAL ,BAL ,25,4,5296698,1324175,3587903,67.74,2016
Darrel Young (20132015) ,FB ,WAS ,WAS ,28,3,3970000,1323333,1000000,25.19,2016
Darius Slay (20132016) ,CB ,DET ,DET ,24,4,5289302,1322326,3127187,59.12,2017
Hau'oli Kikaha (20152018) ,OLB ,NO ,NO ,0,4,5266310,1316578,2764422,52.49,2019
Austin SeferianJenkins (20142017) ,TE ,TB ,TB ,22,4,5254920,1313730,2800620,53.3,2018
Giovani Bernard (20132016) ,RB ,CIN ,CIN ,23,4,5253862,1313466,3249487,61.85,2017
Derek Wolfe (20122015) ,DE ,DEN ,DEN ,25,4,5206800,1301700,3096764,59.48,2016
Mark Herzlich (20152016) ,OLB ,NYG ,NYG ,27,2,2600000,1300000,400000,15.38,2017
Ted Larsen (20142015) ,C ,ARI ,ARI ,28,2,2600000,1300000,470000,18.08,2016
Craig Dahl (20152015) ,S ,SF ,SF ,30,1,1300000,1300000,650000,50,2016
Marqise Lee (20142017) ,WR ,JAC ,JAC ,23,4,5174022,1293506,3158107,61.04,2018
Manti Te'o (20132016) ,ILB ,SD ,SD ,24,4,5172420,1293105,3186870,61.61,2017
Mitchell Schwartz (20122015) ,RT ,CLE ,CLE ,26,4,5170840,1292710,3215650,62.19,2016
Eric Kendricks (20152018) ,ILB ,MIN ,MIN ,23,4,5155920,1288980,2679120,51.96,2019
Derek Anderson (20142015) ,QB ,CAR ,CAR ,32,2,2564000,1282000,400000,15.6,2016
Mario Addison (20142016) ,DE ,CAR ,CAR ,27,2,2560000,1280000,660000,25.78,2017
Kyle Van Noy (20142017) ,OLB ,DET ,DET ,24,4,5102097,1275524,2632534,51.6,2018
Andre Branch (20122015) ,DE ,JAC ,JAC ,26,4,5089934,1272484,3153129,61.95,2016
Jaquiski Tartt (20152018) ,S ,SF ,SF ,23,4,5037015,1259254,2587239,51.36,2019
LaMarcus Joyner (20142017) ,CB ,STL ,STL ,24,4,5030179,1257545,3076956,61.17,2018
Geno Smith (20132016) ,QB ,NYJ ,NYJ ,24,4,5019603,1254901,3068784,61.14,2017
Gary Barnidge (20132015) ,TE ,CLE ,CLE ,29,3,3750000,1250000,650000,17.33,2016
Byron Stingily (20152016) ,RT ,TEN ,TEN ,26,2,2500000,1250000,250000,10,2017
Jason Fox (20152016) ,RT ,MIA ,MIA ,27,2,2500000,1250000,475000,19,2017
Jeron Johnson (20152016) ,S ,WAS ,WAS ,27,2,2500000,1250000,350000,14,2017
Josh Brown (20142015) ,K ,NYG ,NYG ,36,2,2500000,1250000,100000,4,2016
Charles Godfrey (20152015) ,S ,ATL ,ATL ,29,1,1250000,1250000,50000,4,2016
Stevan Ridley (20152015) ,RB ,NYJ ,NYJ ,26,1,1250000,1250000,80000,6.4,2016
James Casey (20152015) ,TE ,DEN ,DEN ,30,1,1250000,1250000, , ,2016
Janoris Jenkins (20122015) ,CB ,STL ,STL ,26,4,4990139,1247535,2939324,58.9,2016
Robert McClain (20152015) ,CB ,NE ,NE ,27,1,1240000,1240000,300000,24.19,2016
Jordan Matthews (20142017) ,WR ,PHI ,PHI ,23,4,4949269,1237317,2984435,60.3,2018
Cornellius Carradine (20132016) ,DE ,SF ,SF ,26,4,4947680,1236920,2963207,59.89,2017
Amini Silatolu (20122015) ,G ,CAR ,CAR ,26,4,4937104,1234276,2985034,60.46,2016
Eric Rowe (20152018) ,CB ,PHI ,PHI ,22,4,4879862,1219966,2465801,50.53,2019
Weston Richburg (20142017) ,C ,NYG ,NYG ,24,4,4877351,1219338,2928861,60.05,2018
Robert Woods (20132016) ,WR ,BUF ,BUF ,23,4,4866769,1216692,2495685,51.28,2017
Cordy Glenn (20122015) ,LT ,BUF ,BUF ,25,4,4865180,1216295,2929457,60.21,2016
Cyrus Kouandjio (20142017) ,RT ,BUF ,BUF ,22,4,4808821,1202205,2825907,58.77,2018
Erik Lorig (20142017) ,FB ,NO ,NO ,28,4,4800000,1200000,1000000,20.83,2018
Rashad Johnson (20132015) ,S ,ARI ,ARI ,29,3,3600000,1200000,1800000,50,2016
Michael Hoomanawanui (20142015) ,TE ,NE ,NE ,27,2,2400000,1200000,500000,20.83,2016
Fernando Velasco (20152015) ,G ,TEN ,TEN ,30,1,1200000,1200000,250000,20.83,2016
Leger Douzable (20152015) ,DE ,NYJ ,NYJ ,29,1,1200000,1200000,80000,6.67,2016
Menelik Watson (20132016) ,RT ,OAK ,OAK ,26,4,4794852,1198713,2895112,60.38,2017
Denzel Perryman (20152018) ,ILB ,SD ,SD ,21,4,4776474,1194119,2385912,49.95,2019
Johnthan Banks (20132016) ,CB ,TB ,TB ,25,4,4726321,1181580,2842157,60.13,2017
Paul Richardson (20142017) ,WR ,SEA ,SEA ,23,4,4712835,1178209,2381736,50.54,2018
Mitch Morse (20152018) ,C ,KC ,KC ,0,4,4673076,1168269,2281017,48.81,2019
Anthony Dixon (20142016) ,RB ,BUF ,BUF ,27,3,3500000,1166667,750000,21.43,2017
Jeff Allen (20122015) ,G ,KC ,KC ,25,4,4643822,1160956,2408407,51.86,2016
Cody Wallace (20142016) ,G ,PIT ,PIT ,30,3,3480000,1160000,450000,12.93,2017
Brandon Bolden (20152016) ,RB ,NE ,NE ,25,2,2320000,1160000,300000,12.93,2017
Kawann Short (20132016) ,DT ,CAR ,CAR ,26,4,4630336,1157584,2362986,51.03,2017
Stephon Tuitt (20142017) ,DE ,PIT ,PIT ,22,4,4609446,1152362,2721844,59.05,2018
John Denney (20132016) ,LS ,MIA ,MIA ,36,3,3450087,1150029,400000,11.59,2017
Beau Brinkley (20152019) ,LS ,TEN ,TEN ,25,5,5750000,1150000,840000,14.61,2020
Zak DeOssie (20122015) ,LS ,NYG ,NYG ,31,3,3450000,1150000,1522672,44.14,2016
Lawrence Guy (20152016) ,DE ,BAL ,BAL ,25,2,2300000,1150000,500000,21.74,2017
Ronald Darby (20152018) ,CB ,BUF ,BUF ,21,4,4569691,1142423,2176125,47.62,2019
Eric Weems (20152016) ,WR ,ATL ,ATL ,30,2,2280000,1140000,425000,18.64,2017
Husain Abdullah (20142015) ,S ,KC ,KC ,30,2,2275000,1137500,750000,32.97,2016
Alshon Jeffery (20122015) ,WR ,CHI ,CHI ,25,4,4547830,1136958,2344235,51.55,2016
Jimmy Clausen (20152015) ,QB ,CHI ,CHI ,27,1,1125000,1125000,262500,23.33,2016
Trent Murphy (20142017) ,OLB ,WAS ,WAS ,24,4,4472798,1118200,2616253,58.49,2018
Michael Person (20152017) ,RT ,ATL ,ATL ,27,3,3350000,1116667,500000,14.93,2018
Tyrod Taylor (20152016) ,QB ,BUF ,BUF ,26,3,3350000,1116667,1150000,34.33,2017
Nate Orchard (20152018) ,DT ,CLE ,CLE ,22,4,4466303,1116576,2146234,48.05,2019
Garrison Sanborn (20152017) ,LS ,BUF ,BUF ,30,3,3335000,1111667,550000,16.49,2018
Mychal Kendricks (20122015) ,ILB ,PHI ,PHI ,24,4,4444444,1111111,2604340,58.6,2016
L.P. Ladouceur (20132017) ,LS ,DAL ,DAL ,34,5,5500000,1100000,600000,10.91,2018
Kedric Golston (20132015) ,DE ,WAS ,WAS ,32,3,3300000,1100000,360000,10.91,2016
Matt Spaeth (20152016) ,TE ,PIT ,PIT ,31,2,2200000,1100000,275000,12.5,2017
Anthony Levine (20152016) ,S ,BAL ,BAL ,28,2,2200000,1100000,400000,18.18,2017
Jarius Wynn (20152016) ,DE ,BUF ,BUF ,28,2,2200000,1100000,250000,11.36,2017
Marcus Sherels (20142015) ,CB ,MIN ,MIN ,27,2,2200000,1100000,500000,22.73,2016
Albert McClellan (20142015) ,ILB ,BAL ,BAL ,29,2,2200000,1100000,400000,18.18,2016
Garrett Reynolds (20152016) ,RT ,STL ,STL ,28,2,2200000,1100000,249999,11.36,2017
Richie Incognito (20152015) ,G ,BUF ,BUF ,32,1,1100000,1100000,100000,9.09,2016
Kevin Minter (20132016) ,ILB ,ARI ,ARI ,24,4,4390288,1097572,2177503,49.6,2017
Timmy Jernigan (20142017) ,DT ,BAL ,BAL ,22,4,4382517,1095629,2126787,48.53,2018
Joe Barksdale (20152015) ,RT ,SD ,SD ,26,1,1095000,1095000,350000,31.96,2016
Jordan Phillips (20152018) ,DT ,MIA ,MIA ,0,4,4362908,1090727,2066338,47.36,2019
Joe Berger (20152016) ,C ,MIN ,MIN ,33,2,2155000,1077500,130000,6.03,2017
Kiko Alonso (20132016) ,ILB ,PHI ,BUF ,24,4,4300401,1075100,2463037,57.27,2017
Jace Amaro (20142017) ,TE ,NYJ ,NYJ ,23,4,4292992,1073248,2477316,57.71,2018
Jon Condo (20132016) ,LS ,OAK ,OAK ,33,3,3200000,1066667,1700000,53.13,2017
Cedric Peerman (20152016) ,RB ,CIN ,CIN ,28,2,2130000,1065000,250000,11.74,2017
Jake Fisher (20152018) ,LT ,CIN ,CIN ,22,4,4259520,1064880,1986448,46.64,2019
Jon Dorenbos (20132016) ,LS ,PHI ,PHI ,35,4,4250000,1062500,500000,11.76,2017
Gavin Escobar (20132016) ,TE ,DAL ,DAL ,24,4,4210492,1052623,2213562,52.57,2017
Tavon Wilson (20122015) ,S ,NE ,NE ,25,4,4208382,1052096,2478772,58.9,2016
Jeremiah Attaochu (20142017) ,OLB ,SD ,SD ,22,4,4203100,1050775,1987850,47.29,2018
Manuel Ramirez (20132015) ,G ,DET ,DEN ,32,3,3150000,1050000,500000,15.87,2016
Henry Hynoski (20152016) ,FB ,NYG ,NYG ,26,2,2100000,1050000,500000,23.81,2017
Greg Warren (20152015) ,LS ,PIT ,PIT ,33,1,1050000,1050000,80000,7.62,2016
Luke McCown (20152015) ,QB ,NO ,NO ,34,1,1050000,1050000,350000,33.33,2016
Lance Moore (20152015) ,WR ,DET ,DET ,31,1,1050000,1050000,80000,7.62,2016
Don Muhlbach (20152015) ,LS ,DET ,DET ,33,1,1050000,1050000,80000,7.62,2016
Mike Leach (20152015) ,LS ,ARI ,ARI ,38,1,1050000,1050000,543000,51.71,2016
Dan Orlovsky (20152015) ,QB ,DET ,DET ,31,1,1050000,1050000,140000,13.33,2016
Colin Cole (20152015) ,DT ,CAR ,CAR ,35,1,1050000,1050000,80000,7.62,2016
C.J. Mosley (20152015) ,DT ,MIA ,MIA ,31,1,1050000,1050000,80000,7.62,2016
Will Allen (20152015) ,S ,PIT ,PIT ,33,1,1050000,1050000,80000,7.62,2016
Cullen Loeffler (20152015) ,LS ,MIN ,MIN ,34,1,1050000,1050000,300000,28.57,2016
Bryan Braman (20152016) ,OLB ,PHI ,PHI ,28,2,2095000,1047500,600000,28.64,2017
Don Carey (20142016) ,S ,DET ,DET ,28,3,3135000,1045000,800000,25.52,2017
Ramon Humber (20152016) ,ILB ,NO ,NO ,27,2,2085000,1042500,334000,16.02,2017
Ameer Abdullah (20152018) ,RB ,DET ,DET ,22,4,4156126,1039032,1856552,44.67,2019
Kendall Reyes (20122015) ,DE ,SD ,SD ,25,4,4127992,1031998,2194816,53.17,2016
Le'Veon Bell (20132016) ,RB ,PIT ,PIT ,23,4,4120600,1030150,2276800,55.25,2017
Ego Ferguson (20142017) ,DE ,CHI ,CHI ,23,4,4113203,1028301,1918384,46.64,2018
Kyle Nelson (20152018) ,LS ,SF ,SF ,28,4,4080000,1020000,600000,14.71,2019
Terrell McClain (20142016) ,DT ,DAL ,DAL ,27,3,3050000,1016667,300000,9.84,2017
Maxx Williams (20152018) ,TE ,BAL ,BAL ,21,4,4052738,1013185,1826662,45.07,2019
Aaron Brewer (20152018) ,LS ,DEN ,DEN ,25,4,4050000,1012500,740000,18.27,2019
Isaiah Pead (20122015) ,RB ,STL ,STL ,25,4,4038100,1009525,2340350,57.96,2016
Johnathan Hankins (20132016) ,DT ,NYG ,NYG ,23,4,4030686,1007672,1899621,47.13,2017
Troy Niklas (20142017) ,TE ,ARI ,ARI ,22,4,4023300,1005825,1848913,45.96,2018
JoLonn Dunbar (20142015) ,OLB ,STL ,STL ,30,2,2005498,1002749,128821,6.42,2016
Senquez Golson (20152018) ,CB ,PIT ,PIT ,22,4,4001041,1000260,1786713,44.66,2019
Nick Sundberg (20132016) ,LS ,WAS ,WAS ,28,4,4000000,1000000,650000,16.25,2017
Matt Overton (20152018) ,LS ,IND ,IND ,30,4,4000000,1000000,400000,10,2019
Adam Hayward (20142016) ,OLB ,WAS ,WAS ,31,3,3000000,1000000,500000,16.67,2017
Andrew Sendejo (20142015) ,S ,MIN ,MIN ,27,2,2000000,1000000,400000,20,2016
George Selvie (20152015) ,DE ,NYG ,NYG ,28,1,1000000,1000000,200000,20,2016
Michael Morgan (20152015) ,OLB ,SEA ,SEA ,27,1,1000000,1000000,150000,15,2016
Leonard Johnson (20152015) ,CB ,TB ,TB ,25,1,1000000,1000000, , ,2016
Leonard Hankerson (20152015) ,WR ,ATL ,ATL ,26,1,1000000,1000000,225000,22.5,2016
Nate Washington (20152015) ,WR ,HOU ,TEN ,31,1,1000000,1000000, , ,2016
Philip Wheeler (20152015) ,OLB ,SF ,SF ,30,1,1000000,1000000, , ,2016
Jonathan Freeny (20152015) ,OLB ,NE ,NE ,26,1,1000000,1000000,150000,15,2016
Damaris Johnson (20152015) ,WR ,HOU ,HOU ,25,1,1000000,1000000,100000,10,2016
Derek Carrier (20152017) ,TE ,SF ,SF ,25,3,2985000,995000,400000,13.4,2018
Rob Havenstein (20152018) ,RT ,STL ,STL ,23,4,3970021,992505,1762743,44.4,2019
Clark Harris (20132017) ,LS ,CIN ,CIN ,31,5,4950000,990000,600000,12.12,2018
Jon Bostic (20132016) ,ILB ,CHI ,CHI ,24,4,3940798,985200,1830163,46.44,2017
Davante Adams (20142017) ,WR ,GB ,GB ,22,4,3933402,983351,1779447,45.24,2018
Markus Golden (20152018) ,DE ,ARI ,ARI ,24,4,3918330,979583,1722802,43.97,2019
Zach Brown (20122015) ,ILB ,TEN ,TEN ,25,4,3858298,964575,1811413,46.95,2016
David Amerson (20132016) ,CB ,WAS ,WAS ,23,4,3850902,962726,1710697,44.42,2017
Ty Sambrailo (20152018) ,LT ,DEN ,DEN ,23,4,3845955,961489,1487610,38.68,2019
Bishop Sankey (20142017) ,RB ,TEN ,TEN ,22,4,3843446,960862,1709976,44.49,2018
Stephen Bowen (20152015) ,DE ,NYJ ,NYJ ,31,1,960000,960000,60000,6.25,2016
Randy Gregory (20152018) ,OLB ,DAL ,DAL ,22,4,3814936,953734,1404499,36.82,2019
Marlon Moore (20152017) ,WR ,CLE ,CLE ,27,3,2850000,950000,200000,7.02,2018
Darrin Walls (20142015) ,CB ,NYJ ,NYJ ,27,2,1900000,950000,350000,18.42,2016
Mitch Unrein (20152016) ,DT ,SD ,SD ,28,2,1900000,950000,250000,13.16,2017
Kevin Vickerson (20152015) ,DT ,NYJ ,NYJ ,32,1,950000,950000,60000,6.32,2016
Will Blackmon (20152015) ,CB ,SEA ,SEA ,30,1,950000,950000,80000,8.42,2016
Kellen Davis (20152015) ,TE ,NYJ ,NYJ ,29,1,950000,950000,40000,4.21,2016
Eric Winston (20152015) ,RT ,CIN ,CIN ,31,1,950000,950000,80000,8.42,2016
Parys Haralson (20152015) ,OLB ,NO ,NO ,31,1,950000,950000,350000,36.84,2016
LaMarr Woodley (20152015) ,OLB ,ARI ,ARI ,30,1,950000,950000,40000,4.21,2016
Matt Flynn (20152015) ,QB ,NE ,NE ,30,1,950000,950000,20000,2.11,2016
Jason Trusnik (20152015) ,ILB ,CAR ,CAR ,31,1,950000,950000,80000,8.42,2016
Willie Colon (20152015) ,G ,NYJ ,NYJ ,32,1,950000,950000,65000,6.84,2016
Pat Sims (20152015) ,DT ,CIN ,CIN ,29,1,950000,950000,50000,5.26,2016
Will Montgomery (20152015) ,C ,CHI ,CHI ,32,1,950000,950000,200000,21.05,2016
Josh Wilson (20152015) ,CB ,DET ,DET ,30,1,950000,950000,280000,29.47,2016
Dwight Lowery (20152015) ,S ,IND ,IND ,29,1,950000,950000,80000,8.42,2016
Jason Avant (20152015) ,WR ,KC ,KC ,32,1,950000,950000,50000,5.26,2016
Anthony Spencer (20152015) ,OLB ,NO ,NO ,31,1,950000,950000,230000,24.21,2016
Joe Mays (20152015) ,ILB ,NYJ ,NYJ ,30,1,950000,950000,60000,6.32,2016
