player,position,team,teamsignedwith,age,years,contract,salary,guaranteed,guaranteedpct,yearfreeagent
Paul Posluszny (20152017) ,ILB ,JAC ,JAC ,30,3,15000000,5000000,3950000,26.33,2018
Perrish Cox (20152017) ,CB ,TEN ,TEN ,28,3,15000000,5000000,2500000,16.67,2018
Doug Free (20152017) ,RT ,DAL ,DAL ,31,3,15000000,5000000,6000000,40,2018
Justin Tuck (20142015) ,DE ,OAK ,OAK ,32,2,10000000,5000000,4350000,43.5,2016
Nick Fairley (20152015) ,DT ,STL ,STL ,27,1,5000000,5000000,1500000,30,2016
Sammy Watkins (20142017) ,WR ,BUF ,BUF ,22,4,19935603,4983901,19935603,100,2018
Lane Johnson (20132016) ,RT ,PHI ,PHI ,25,4,19853103,4963276,19853103,100,2017
Matt Kalil (20122016) ,LT ,MIN ,MIN ,26,4,19770598,4942650,19770598,100,2017
A.J. Green (20112015) ,WR ,CIN ,CIN ,27,4,19688098,4922025,19688098,100,2016
Brent Celek (20092016) ,TE ,PHI ,PHI ,30,6,29250000,4875000,10500000,35.9,2017
Brandon Fusco (20152019) ,G ,MIN ,MIN ,27,5,24250000,4850000,6000000,24.74,2020
Donald Penn (20142015) ,LT ,OAK ,OAK ,32,2,9600000,4800000,4200000,43.75,2016
James Carpenter (20152018) ,G ,NYJ ,NYJ ,26,4,19100000,4775000,7500000,39.27,2019
Vontaze Burfict (20142017) ,OLB ,CIN ,CIN ,24,4,19004000,4751000,6904000,36.33,2018
Greg Toler (20132015) ,CB ,IND ,IND ,30,3,14250000,4750000,5000000,35.09,2016
Glover Quin (20132017) ,S ,DET ,DET ,29,5,23500000,4700000,6250000,26.6,2018
Khalil Mack (20142017) ,OLB ,OAK ,OAK ,24,4,18676999,4669250,18676999,100,2018
Josh McCown (20152017) ,QB ,CLE ,CLE ,36,3,14000000,4666667,6250000,44.64,2018
Leonard Williams (20152018) ,DE ,NYJ ,NYJ ,21,4,18630866,4657717,18630866,100,2019
Ezekiel Ansah (20132016) ,DE ,DET ,DET ,26,4,18594514,4648629,18594499,100,2017
Justin Blackmon (20122015) ,WR ,JAC ,JAC ,25,4,18512010,4628003,18512010,100,2016
Lance Kendricks (20152018) ,TE ,STL ,STL ,27,4,18500000,4625000,10000000,54.05,2019
Kenny Britt (20152016) ,WR ,STL ,STL ,26,2,9150000,4575000,3550000,38.8,2017
Riley Cooper (20142017) ,WR ,PHI ,PHI ,27,5,22500000,4500000,8000000,35.56,2018
Jon Asamoah (20142018) ,G ,ATL ,ATL ,27,5,22500000,4500000,6000000,26.67,2019
Sen'Derrick Marks (20142017) ,DT ,JAC ,JAC ,28,4,18000000,4500000,5000000,27.78,2018
Reggie Nelson (20122015) ,S ,CIN ,CIN ,31,4,18000000,4500000,5000000,27.78,2016
Breno Giacomini (20142017) ,RT ,NYJ ,NYJ ,29,4,18000000,4500000,7000000,38.89,2018
Domata Peko (20152016) ,DT ,CIN ,CIN ,30,2,9000000,4500000,4400000,48.89,2017
Vince Wilfork (20152016) ,DT ,HOU ,HOU ,33,2,9000000,4500000,5000000,55.56,2017
Mark Sanchez (20152016) ,QB ,PHI ,PHI ,28,2,9000000,4500000,5500000,61.11,2017
Marcus Cannon (20152016) ,G ,NE ,NE ,27,2,9000000,4500000, , ,2017
Jerod Mayo (20152017) ,ILB ,NE ,NE ,29,1,4500000,4500000,4500000,100,2018
