player,position,team,teamsignedwith,age,years,contract,guaranteed,guaranteedpct,salary,yearfreeagent
Kyle Lowry (2014-2017) ,PG ,TOR ,TOR ,29,4,48000000,48000000,100,12000000,2018
Andrew Bogut (2014-2016) ,C ,GSW ,GSW ,30,3,36000000,36000000,100,12000000,2017
Amir Johnson (2015-2016) ,PF ,BOS ,BOS ,28,2,24000000,24000000,100,12000000,2017
Derrick Favors (2014-2017) ,PF ,UTH ,UTH ,24,4,46950000,46950000,100,11737500,2018
Wilson Chandler (2015-2018) ,SF ,DEN ,DEN ,28,4,46500000,46500000,100,11625000,2019
Omer Asik (2015-2019) ,C ,NOP ,NOP ,29,5,57977525,43999998,75.89,11595505,2020
Nicolas Batum (2012-2015) ,SF ,CHA ,POR ,26,4,46121500,46121500,100,11530375,2016
Tyreke Evans (2013-2016) ,PG ,NOP ,SAC ,25,4,44000004,44000004,100,11000001,2017
Stephen Curry (2013-2016) ,PG ,GSW ,GSW ,27,4,44000000,44000000,100,11000000,2017
Monta Ellis (2015-2018) ,PG ,IND ,IND ,29,4,43981000,43981000,100,10995250,2019
Jrue Holiday (2013-2016) ,PG ,NOP ,PHI ,25,4,41000004,41000004,100,10250001,2017
Alec Burks (2015-2018) ,PG ,UTH ,UTH ,24,4,41000000,41000000,100,10250000,2019
Gerald Wallace (2012-2015) ,SF ,PHI ,BKN ,33,4,40000030,40000030,100,10000008,2016
Danny Green (2015-2018) ,SG ,SAS ,SAS ,28,4,40000000,40000000,100,10000000,2019
Iman Shumpert (2015-2018) ,SF ,CLE ,CLE ,25,4,40000000,40000000,100,10000000,2019
Anderson Varejao (2015-2017) ,C ,CLE ,CLE ,32,3,30000000,9638554,32.13,10000000,2018
Zach Randolph (2015-2016) ,PF ,MEM ,MEM ,34,2,20000000, , ,10000000,2017
Luol Deng (2014-2015) ,SF ,MIA ,MIA ,30,2,19866073,19866073,100,9933037,2016
DeMar DeRozan (2013-2016) ,SG ,TOR ,TOR ,25,4,38000000,38000000,100,9500000,2017
Rajon Rondo (2015-2015) ,PG ,SAC ,SAC ,29,1,9500000,9500000,100,9500000,2016
Tiago Splitter (2013-2016) ,C ,ATL ,SAS ,30,4,36000000,36000000,100,9000000,2017
Lance Stephenson (2014-2015) ,SG ,LAC ,IND ,24,2,18000000,18000000,100,9000000,2017
Jeff Green (2012-2015) ,PF ,MEM ,BOS ,28,4,35200000,35200000,100,8800000,2016
Ryan Anderson (2012-2015) ,PF ,NOP ,NOH ,27,4,34000000,34000000,100,8500000,2016
Dirk Nowitzki (2014-2016) ,PF ,DAL ,DAL ,37,3,25000000,25000000,100,8333333,2017
Taj Gibson (2013-2016) ,PF ,CHI ,CHI ,30,4,33000000,33000000,100,8250000,2017
Kevin Garnett (2015-2016) ,C ,MIN ,MIN ,39,2,16500000,16500000,100,8250000,2017
Kosta Koufos (2015-2018) ,C ,SAC ,SAC ,26,4,32879000,32879000,100,8219750,2019
Trevor Ariza (2014-2017) ,SF ,HOU ,WAS ,30,4,32000002,32000002,100,8000001,2018
George Hill (2012-2016) ,PG ,IND ,IND ,29,5,40000000,40000000,100,8000000,2017
Ersan Ilyasova (2012-2016) ,SF ,DET ,MIL ,28,5,40000000,32000000,80,8000000,2017
Mike Conley (2011-2015) ,PG ,MEM ,MEM ,27,5,40000000,40000000,100,8000000,2016
Markieff Morris (2015-2018) ,PF ,PHX ,PHX ,25,4,32000000,32000000,100,8000000,2019
Channing Frye (2014-2017) ,PF ,ORL ,ORL ,32,4,32000000,32000000,100,8000000,2018
Avery Bradley (2014-2017) ,PG ,BOS ,BOS ,24,4,32000000,32000000,100,8000000,2018
Jeff Teague (2013-2016) ,PG ,ATL ,ATL ,27,4,32000000,32000000,100,8000000,2017
O.J. Mayo (2013-2015) ,SG ,MIL ,MIL ,27,3,24000000,24000000,100,8000000,2016
Brandon Jennings (2013-2015) ,PG ,DET ,MIL ,25,3,24000000,24000000,100,8000000,2016
Arron Afflalo (2015-2016) ,SG ,NYK ,POR ,29,2,16000000,16000000,100,8000000,2017
Corey Brewer (2015-2017) ,SF ,HOU ,HOU ,29,3,23420913,23420913,100,7806971,2018
