conference,team_name,abbreviation
Eastern,Atlanta Dream,ATL
Eastern,Chicago Sky,CHI
Eastern,Connecticut Sun,CON
Eastern,Indiana Fever,IND
Eastern,New York Liberty,NYL
Eastern,Washington Mystics,WAS
Western,Los Angeles Sparks,LAS
Western,Minnesota Lynx,MIN
Western,Phoenix Mercury,PHO
Western,San Antonio Stars,SAS
Western,Seattle Storm,SEA
Western,Tulsa Shock,TUL
