conference,division,team_name,abbreviation
American,East,Buffalo Bills,BUF
American,East,Miami Dolphins,MAI
American,East,New England Patriots,NE
American,East,New York Jets,NYJ
American,North,Baltimore Ravens,BAL
American,North,Cincinnati Bengals,CIN
American,North,Cleveland Browns,CLE
American,North,Pittsburgh Steelers,PIT
American,South,Houston Texans,HOU
American,South,Indianapolis Colts,IND
American,South,Jacksonville Jaguars,JAC
American,South,Tennessee Titans,TEN
American,West,Denver Broncos,DEN
American,West,Kansas City Chiefs,KC
American,West,Oakland Raiders,OAK
American,West,San Diego Chargers,SD
National,East,Dallas Cowboys,DAL
National,East,New York Giants,NYG
National,East,Philadelphia Eagles,PHI
National,East,Washington Redskins,WAS
National,North,Chicago Bears,CHI
National,North,Detroit Lions,DET
National,North,Green Bay Packers,GB
National,North,Minnesota Vikings,MIN
National,South,Atlanta Falcons,ATL
National,South,Carolina Panthers,CAR
National,South,New Orleans Saints,NO
National,South,Tampa Bay Buccaneers,TB
National,West,Arizona Cardinals,ARI
National,West,San Francisco 49ers,SF
National,West,Seattle Seahawks,SEA
National,West,St. Louis Rams,STL
