conference,division,team_name,abbreviation
Eastern,Atlantic,Boston Celtics,BOS
Eastern,Atlantic,Brooklyn Nets,BKN
Eastern,Atlantic,New York Knicks,NYK
Eastern,Atlantic,Philadelphia 76ers,PHI
Eastern,Atlantic,Toronto Raptors,TOR
Eastern,Central,Chicago Bulls,CHI
Eastern,Central,Cleveland Cavaliers,CLE
Eastern,Central,Detroit Pistons,DET
Eastern,Central,Indiana Pacers,IND
Eastern,Central,Milwaukee Bucks,MIL
Eastern,Southeast,Atlanta Hawks,ATL
Eastern,Southeast,Charlotte Hornets,CHA
Eastern,Southeast,Miami Heat,MIA
Eastern,Southeast,Orlando Magic,ORL
Eastern,Southeast,Washington Wizards,WAS
Western,Southwest,Dallas Mavericks,DAL
Western,Southwest,Houston Rockets,HOU
Western,Southwest,Memphis Grizzlies,MEM
Western,Southwest,New Orleans Pelicans,NOP
Western,Southwest,San Antonio Spurs,SAS
Western,Northwest,Denver Nuggets,DEN
Western,Northwest,Minnesota Timberwolves,MIN
Western,Northwest,Oklahoma City Thunder,OKC
Western,Northwest,Portland Trail Blazers,POR
Western,Northwest,Utah Jazz,UTA
Western,Pacific,Golden State Warriors,GSW
Western,Pacific,Los Angeles Clippers,LAC
Western,Pacific,Los Angeles Lakers,LAL
Western,Pacific,Phoenix Suns,PHX
Western,Pacific,Sacramento Kings,SAC
